"USAF","WBAN","NAME","CTRY","STATE","ICAO","LAT","LON","ELEV","BEGIN","END"
13190,99999,"TAKLE","NO","","",61.033,5.383,38,1973,2015
13210,99999,"STRYN","NO","","",61.9,6.55,208,1973,2015
13220,99999,"FORDE-TEFRE","NO","","",61.467,5.917,64,1973,2015
13360,99999,"BULKEN","NO","","",60.65,6.217,328,1973,2015
13420,99999,"ULLENSVANG","NO","","",60.317,6.65,12,1973,2015
13440,99999,"MJOLFJELL","NO","","",60.7,6.95,695,1973,2015
13450,99999,"KLEVAVATNET","NO","","",60.717,7.217,960,1973,2015
13550,99999,"LAERDAL IV","NO","","",61.1,7.5,5,1973,2015
13570,99999,"HOLLEKOLTEN","NO","","",60.867,8.517,804.2,1973,2015
13590,99999,"GEILO-OLDEBRATEN","NO","","",60.533,8.2,773,1973,2015
13600,99999,"BRATA-SLETTOM","NO","","",61.9,7.9,664,1973,2015
13610,99999,"GROTLI III","NO","","",62.017,7.667,872,1973,2015
13640,99999,"FILEFJELL","NO","","",61.183,8.117,955.1,1949,2015
13650,99999,"BEITOSTOLEN II","NO","","",65.25,8.917,965,1973,2015
13660,99999,"SOGNEFJELL","NO","","",61.567,8,1413,1979,2015
13700,99999,"SKABU","NO","","",61.517,9.4,928,1973,2015
13710,99999,"LOKEN I VOLBU","NO","","",61.117,9.067,521,1973,2015
13730,99999,"NESBYEN-TODOKK","NO","","",60.567,9.133,166,1973,2015
13750,99999,"KVITFJELL","NO","","",61.467,10.133,1028,1973,2015
13760,99999,"GULSVIK II","NO","","",60.383,9.6,142,1973,2015
13780,99999,"LILLEHAMMER-SAETHERENGEN","NO","","",61.1,10.467,239,1973,2015
13820,99999,"KISE","NO","","",60.767,10.8,128,1973,2015
13830,99999,"EVENSTAD-OVERENGET","NO","","",61.4,11.15,255,1973,2015
13840,99999,"GARDERMOEN","NO","","ENGM",60.194,11.1,207.6,1940,2015
13890,99999,"RENA AP","NO","","",61.183,11.367,255.7,1973,2015
13930,99999,"DREVSJO","NO","","",61.883,12.033,673.5,1973,2015
13970,99999,"TRYSIL VEGSTASJON","NO","","",61.3,12.267,361.4,1973,2015
14030,99999,"UTSIRA FYR","NO","","",59.3,4.867,56.3,1928,2015
14060,99999,"SLATTEROY FYR","NO","","",59.917,5.067,16,1973,2015
14120,99999,"OBRESTAD","NO","","",58.65,5.567,26,1973,2015
14150,99999,"SOLA","NO","","ENZV",58.877,5.638,8.8,1940,2015
14170,99999,"NEDRE VATS","NO","","",59.483,5.75,65,1973,2015
14180,99999,"AUSTEVOLL","NO","","",60.017,5.2,32,1973,2015
14240,99999,"SAUDA","NO","","",59.65,6.367,6,1973,2015
14250,99999,"EIK HOVE","NO","","",58.517,6.517,66,1973,2015
14270,99999,"LISTA FYR","NO","","",58.117,6.567,14,1928,2015
14300,99999,"MANDAL II","NO","","",58.017,7.45,138,1973,2015
14330,99999,"MIDTLAEGER","NO","","",59.833,6.983,1081,1973,2015
14360,99999,"LINDESNES FYR","NO","","",57.983,7.05,13,1973,2015
14390,99999,"KONSMO-HOYLAND","NO","","",58.25,7.317,260,1973,2015
14400,99999,"BLASJO","NO","","",59.333,6.867,1104.6,1973,2015
14420,99999,"BYGLANDSFJORD","NO","","",58.667,7.8,211,1973,2015
14480,99999,"OKSOY FYR","NO","","",58.067,8.05,8,1949,2015
14500,99999,"MOSSTRAND II","NO","","",59.833,8.183,977,1973,2015
14520,99999,"KJEVIK","NO","","ENCN",58.204,8.085,17.4,1940,2015
14550,99999,"TVEITSUND","NO","","",59.033,8.517,252,1973,2015
14590,99999,"NELAUG","NO","","",58.65,8.633,142,1973,2015
14650,99999,"TORUNGEN FYR","NO","","",58.4,8.783,15,1973,2015
14670,99999,"LYNGOR FYR","NO","","",58.633,9.15,5,1973,2015
14700,99999,"GVARV","NO","","",59.383,9.2,93,1973,2015
14760,99999,"JOMFRULAND FYR","NO","","",58.85,9.55,5,1973,2015
14770,99999,"KONNERUD","NO","","",59.717,10.15,193,1973,2015
14780,99999,"SVENNER LH","NO","","",58.967,10.15,15,1973,2015
14810,99999,"MELSOM","NO","","",59.233,10.35,26,1974,2015
14820,99999,"FERDER LH","NO","","",59.033,10.517,7.7,1931,2015
14840,99999,"AURSKOG","NO","","",59.917,11.583,128,1973,2015
14880,99999,"HAKADAL","NO","","",60.117,10.833,170,1940,2015
14900,99999,"TRYVANNSHOGDA","NO","","",59.983,10.683,528,1973,2015
14920,99999,"OSLO-BLINDERN","NO","","",59.95,10.717,97,1973,2015
14940,99999,"RYGGE","NO","","ENRY",59.379,10.786,53,1973,2015
20200,99999,"KATTERJAKK","SW","","",68.417,18.167,517,1977,2015
20360,99999,"NIKKALUOKTA","SW","","",67.85,19.033,468,1977,2015
20440,99999,"KIRUNA","SW","","ESNQ",67.822,20.337,459.6,1977,2015
20490,99999,"GALLIVARE","SW","","ESNG",67.132,20.815,313,1979,2015
20540,99999,"NEDRE SOPPERO","SW","","",68.05,21.75,360,1955,2015
20550,99999,"NAIMAKKA","SW","","",68.683,21.533,402,1973,2015
20640,99999,"SAITTAROVA","SW","","",67.333,22.233,240,1973,2015
20810,99999,"KARESUANDO","SW","","",68.45,22.45,330,1955,2015
